station,valid,drct,sknt,alti
JRB,2025-04-01 00:56,0.00,0.00,29.56
JRB,2025-04-01 01:14,M,3.00,29.59
JRB,2025-04-01 01:32,M,3.00,29.59
JRB,2025-04-01 01:43,0.00,0.00,29.59
JRB,2025-04-01 01:56,250.00,6.00,29.62
JRB,2025-04-01 02:06,240.00,6.00,29.62
JRB,2025-04-01 02:14,0.00,0.00,29.61
JRB,2025-04-01 02:21,20.00,3.00,29.60
JRB,2025-04-01 02:26,0.00,0.00,29.60
JRB,2025-04-01 02:31,0.00,0.00,29.59
JRB,2025-04-01 02:40,240.00,4.00,29.60
JRB,2025-04-01 02:44,210.00,5.00,29.60
JRB,2025-04-01 02:56,0.00,0.00,29.59
JRB,2025-04-01 03:07,240.00,7.00,29.61
JRB,2025-04-01 03:14,240.00,4.00,29.61
JRB,2025-04-01 03:18,270.00,3.00,29.61
JRB,2025-04-01 03:39,0.00,0.00,29.60
JRB,2025-04-01 03:56,0.00,0.00,29.59
JRB,2025-04-01 04:00,230.00,4.00,29.60
JRB,2025-04-01 04:11,280.00,3.00,29.61
JRB,2025-04-01 04:14,270.00,3.00,29.61
JRB,2025-04-01 04:21,0.00,0.00,29.60
JRB,2025-04-01 04:36,200.00,3.00,29.59
JRB,2025-04-01 04:39,190.00,4.00,29.58
JRB,2025-04-01 04:45,180.00,4.00,29.59
JRB,2025-04-01 04:52,0.00,0.00,29.59
JRB,2025-04-01 04:56,220.00,3.00,29.60
JRB,2025-04-01 05:04,0.00,0.00,29.60
JRB,2025-04-01 05:12,0.00,0.00,29.60
JRB,2025-04-01 05:15,0.00,0.00,29.61
JRB,2025-04-01 05:22,230.00,3.00,29.61
JRB,2025-04-01 05:30,0.00,0.00,29.60
JRB,2025-04-01 05:32,0.00,0.00,29.60
JRB,2025-04-01 05:39,0.00,0.00,29.59
JRB,2025-04-01 05:52,0.00,0.00,29.59
JRB,2025-04-01 05:56,0.00,0.00,29.59
JRB,2025-04-01 06:22,0.00,0.00,29.57
JRB,2025-04-01 06:31,270.00,6.00,29.59
JRB,2025-04-01 06:52,M,6.00,29.61
JRB,2025-04-01 06:56,0.00,0.00,29.62
JRB,2025-04-01 07:04,M,4.00,29.62
JRB,2025-04-01 07:28,M,3.00,29.61
JRB,2025-04-01 07:56,0.00,0.00,29.62
JRB,2025-04-01 08:56,M,6.00,29.67
JRB,2025-04-01 09:44,M,3.00,29.72
JRB,2025-04-01 09:53,280.00,5.00,29.72
JRB,2025-04-01 09:56,M,4.00,29.73
JRB,2025-04-01 10:33,M,3.00,29.77
JRB,2025-04-01 10:53,M,5.00,29.79
JRB,2025-04-01 10:56,M,4.00,29.80
JRB,2025-04-01 11:56,M,4.00,29.86
JRB,2025-04-01 12:56,M,5.00,29.89
JRB,2025-04-01 13:56,M,5.00,29.92
JRB,2025-04-01 14:56,M,4.00,29.94
JRB,2025-04-01 15:56,250.00,7.00,29.97
JRB,2025-04-01 16:56,M,3.00,29.99
JRB,2025-04-01 17:56,240.00,6.00,30.01
JRB,2025-04-01 18:56,M,4.00,30.02
JRB,2025-04-01 19:56,M,4.00,30.04
JRB,2025-04-01 20:56,M,4.00,30.06
JRB,2025-04-01 21:56,M,6.00,30.10
JRB,2025-04-01 22:56,M,3.00,30.12
JRB,2025-04-01 23:56,M,4.00,30.16
JRB,2025-04-02 00:56,0.00,0.00,30.20
JRB,2025-04-02 01:56,250.00,6.00,30.25
JRB,2025-04-02 02:56,280.00,4.00,30.28
JRB,2025-04-02 03:56,M,3.00,30.31
JRB,2025-04-02 04:56,150.00,5.00,30.34
JRB,2025-04-02 05:56,M,5.00,30.35
